theta;f;class
20;0.63;longe
20;0.64;longe
20;0.65;longe
20;0.66;longe
20;0.67;longe
20;0.68;longe
20;0.69;longe
20;0.7;longe
20;0.71;longe
20;0.72;longe
20;0.73;longe
20;0.74;longe
20;0.75;longe
20;0.76;longe
20;0.77;longe
20;0.78;longe
20;0.79;longe
20;0.8;longe
20;0.81;longe
20;0.82;longe
20;0.83;longe
20;0.84;longe
20;0.85;longe
20;0.86;longe
20;0.87;longe
20;0.88;longe
20;0.89;longe
20;0.9;longe
20;0.91;longe
20;0.92;longe
20;0.93;longe
20;0.94;perto
20;0.95;perto
20;0.96;perto
20;0.97;perto
20;0.98;perto
20;0.99;perto
21;0.5;longe
21;0.51;longe
21;0.52;longe
21;0.53;longe
21;0.54;longe
21;0.55;longe
21;0.56;longe
21;0.57;longe
21;0.58;longe
21;0.59;longe
21;0.6;longe
21;0.61;longe
21;0.62;longe
21;0.63;longe
21;0.64;longe
21;0.65;longe
21;0.66;longe
21;0.67;longe
21;0.68;longe
21;0.69;longe
21;0.7;longe
21;0.71;longe
21;0.72;longe
21;0.73;longe
21;0.74;longe
21;0.75;longe
21;0.76;longe
21;0.77;longe
21;0.78;longe
21;0.79;longe
21;0.8;longe
21;0.81;longe
21;0.82;longe
21;0.83;longe
21;0.84;longe
21;0.85;longe
21;0.86;longe
21;0.87;longe
21;0.88;longe
21;0.89;longe
21;0.9;longe
21;0.91;longe
21;0.92;perto
21;0.93;perto
21;0.94;perto
21;0.95;perto
21;0.96;perto
21;0.97;perto
21;0.98;perto
21;0.99;muito perto
22;0.5;longe
22;0.51;longe
22;0.52;longe
22;0.53;longe
22;0.54;longe
22;0.55;longe
22;0.56;longe
22;0.57;longe
22;0.58;longe
22;0.59;longe
22;0.6;longe
22;0.61;longe
22;0.62;longe
22;0.63;longe
22;0.64;longe
22;0.65;longe
22;0.66;longe
22;0.67;longe
22;0.68;longe
22;0.69;longe
22;0.7;longe
22;0.71;longe
22;0.72;longe
22;0.73;longe
22;0.74;longe
22;0.75;longe
22;0.76;longe
22;0.77;longe
22;0.78;longe
22;0.79;longe
22;0.8;longe
22;0.81;longe
22;0.82;longe
22;0.83;longe
22;0.84;longe
22;0.85;longe
22;0.86;longe
22;0.87;longe
22;0.88;longe
22;0.89;longe
22;0.9;perto
22;0.91;perto
22;0.92;perto
22;0.93;perto
22;0.94;perto
22;0.95;perto
22;0.96;muito perto
22;0.97;muito perto
22;0.98;muito perto
22;0.99;longe
23;0.5;longe
23;0.51;longe
23;0.52;longe
23;0.53;longe
23;0.54;longe
23;0.55;longe
23;0.56;longe
23;0.57;longe
23;0.58;longe
23;0.59;longe
23;0.6;longe
23;0.61;longe
23;0.62;longe
23;0.63;longe
23;0.64;longe
23;0.65;longe
23;0.66;longe
23;0.67;longe
23;0.68;longe
23;0.69;longe
23;0.7;longe
23;0.71;longe
23;0.72;longe
23;0.73;longe
23;0.74;longe
23;0.75;longe
23;0.76;longe
23;0.77;longe
23;0.78;longe
23;0.79;longe
23;0.8;longe
23;0.81;longe
23;0.82;longe
23;0.83;longe
23;0.84;longe
23;0.85;longe
23;0.86;longe
23;0.87;longe
23;0.88;perto
23;0.89;perto
23;0.9;perto
